«·œÊ«¡,«· —ﬂÌ»
Nimulide 3%,nimesulide 3%
NootroCetam 1000,piracetam 1000mg / 5ml
NootroCetam 1200,piracetam 1200mg / c-tab
NootroCetam 800,piracetam 800mg / c-tab
Ofloxin 200,ofloxacin 200mg / c-tab
Pencillin 312,phenoxyMethylPenicillin 312.5mg / 5ml
Pencillin 312,phenoxyMethylPenicillin 312.5mg / 5ml
Pencillin 625,phenoxyMethylPenicillin 625mg / tab
Pencillin 625,phenoxyMethylPenicillin 625mg / tab
PerindoPril 4,perindopril 4mg / tab
PowerCobra,coEnzymeQ10 10mg+damiana 125mg+ginseng 200mg+royalJelly 55mg+sarsaprilla 50mg+sawPalmetto 100mg+vitaminB6 20mg+vitaminE 200i.u.+zinc 15mg / tab
Powerfull,damiana 250mg+goutKola 50mg+Ginseng 500mg+royalJelly 5mg+sarsaparilla 100mg+sawPalmetto 100mg / c-tab
Powerfull,damiana 250mg+goutKola 50mg+Ginseng 500mg+royalJelly 5mg+sarsaparilla 100mg+sawPalmetto 100mg / c-tab
Prasubal 10,prasugrel 10mg / c-tab
Prasubal 5,prasugrel 5mg / c-tab
PregnaX,essentialElements+minerals+multivitamins / c-tab for pregnant
Prostawern,urticaFlluidExtract 5000mg / 5ml
Ramipril 10,ramipril 10mg / cap
Ramipril 2.5,ramipril 2.5mg / cap
Ramipril 5,ramipril 5mg / cap
Rosuvastatin 10,rosuvastatin 10mg / c-tab
Rosuvastatin 10,rosuvastatin 10mg / c-tab
Rosuvastatin 20,rosuvastatin 20mg / c-tab
Rosuvastatin 40,rosuvastatin 40mg / c-tab
Rosuvastatin 5,rosuvastatin 5mg / c-tab
Sawpal 360,sawPalmetto 360mg / tab
Selvit,siliconDiOxide 20mg+vitaminC 40mg+vitisViniferaSeedDryExtract 1200mg / cap
Silfazine 1%,silverSulfadiazine 1%
Silfazine 1%,silverSulfadiazine 1%
Silfazine 1%,silverSulfadiazine 1%
Soothex,eucalyptus 0.5%+ginger 0.25%+glycerol 1.75%+honey 1.25%+lemonSyrup 1.25%
Spiramycine 1.5,spiramycin 1500000i.u. / tab
SpiramycineFort 3,spiramycin 3000000i.u. / c-tab
Spirazole,metronidazole 125mg+spiramycin 750000i.u. / c-tab
SpirazoleFort,metronidazole 250mg+spiramycin 1500000i.u. / c-tab
Ticlopid 250,ticlodipine 250mg / c-tab
Tonigrow,grewiaTenax 500mg / tab
Tubex,allantoin 1%+ceapExtract 10%+heparin 50i.u. / gr
Valsarid 160,H.C.T.Z. ( HydroChloroThiaZide ) 25mg+valsartan 160mg / tab
Valsarid 80,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+valsartan 80mg / tab
Vebrosel,dimethindene 25mg+phenylephrine 250mg / 100gr
Venlafex 75,venlafaxine 75mg / tab
Viksam,eucalyptol 1%+menthol 5%+thymol 2%
Viksam,eucalyptol 1%+menthol 5%+thymol 2%
Vinpocetine 5,vinpocetine 5mg / tab
Vitabal,vitaminA 2500i.u.+vitaminB1 2.5mg+vitaminB2 2.5mg+vitaminB6 2.5mg+vitaminC 50mg+vitaminD 250i.u.+vitaminPP 10mg / chew-tab
Vitabal,vitaminA 2500i.u.+vitaminB1 2.5mg+vitaminB2 2.5mg+vitaminB6 2.5mg+vitaminC 50mg+vitaminD 250i.u.+vitaminPP 10mg / chew-tab
Vitabal,vitaminA 2500i.u.+vitaminB1 2.5mg+vitaminB2 2.5mg+vitaminB6 2.5mg+vitaminC 50mg+vitaminD 250i.u.+vitaminPP 10mg / chew-tab
Vitabal,vitaminA 2500i.u.+vitaminB1 2.5mg+vitaminB2 2.5mg+vitaminB6 2.5mg+vitaminC 50mg+vitaminD 250i.u.+vitaminPP 10mg / chew-tab
Voltarit,bilberry 70mg+celery 2500mg+devilsClaw 100mg+hawthornBerry 75mg+turmericExtract 75mg / c-tab
YohimbalE,vitaminE 70mg+yohimbine 5mg / c-tab
Zerapine 10,olanzapine 10mg / tab
Zerapine 2.5,olanzapine 2.5mg / tab
Zerapine 5,olanzapine 5mg / tab
Zyvixid 100 ,linezolid 100mg / 5ml 
Zyvixid 100 ,linezolid 100mg / 5ml 
Zyvixid 400,linezolid 400mg / c-tab
Zyvixid 600,linezolid 600mg / c-tab
Donataxel 20,
Donataxel 80,
Oxalite 100,oxaliplatin 100mg / vial
Oxalite 50,oxaliplatin 100mg / vial
Panataxel 100,paclitaxel 100mg / vial
Panataxel 150,paclitaxel 150mg / vial
Panataxel 300,paclitaxel 300mg / vial
Sinresor 4,
Vinorgen 10,
Vinorgen 50,
AlphaLipoic 50,AlphaLipoicAcid 50mg / cap
BioArginine 500,arginineL 500mg / cap
BioArginine 500,arginineL 50mg / cap
BioArginine 500,arginineL 500mg / 5ml
BioC 500,vitaminC 500mg / chew-tab
Biocardis 20,telmisartan 20mg / tab
Biocardis 20,telmisartan 20mg / tab
Biocardis 40,telmisartan 40mg / tab
Biocardis 40,telmisartan 40mg / tab
Biocardis 80,telmisartan 80mg / tab
Biocardis 80,telmisartan 80mg / tab
BioDiCal,calciumCarbonate 1250mg+magnesiumOxide 15mg+vitaminD3 500i.u. / c-tab
Biofexor 150,venlafaxine 150mg / c-tab
Biofexor 37.5,venlafaxine 37.5mg / c-tab
Biofexor 75,venlafaxine 75mg / c-tab
Biogabalin 100,preGabalin 100mg / cap
Biogabalin 100,preGabalin 100mg / cap
Biogabalin 150,preGabalin 150mg / cap
Biogabalin 150,preGabalin 150mg / cap
Biogabalin 50,preGabalin 50mg / cap
Biogabalin 50,preGabalin 50mg / cap
Biogabalin 75,preGabalin 75mg / cap
Biogabalin 75,preGabalin 75mg / cap
Bioramipril 1.25,ramipril 1.25mg / cap
Bioramipril 1.25,ramipril 1.25mg / cap
Bioramipril 10,ramipril 10mg / cap
Bioramipril 10,ramipril 10mg / cap
Bioramipril 2.50,ramipril 2.5mg / cap
Bioramipril 2.50,ramipril 2.5mg / cap
Bioramipril 5,ramipril 5mg / cap
Bioramipril 5,ramipril 5mg / cap
Biotix 0.5,varenicline 0.5mg / c-tab
Biotix 1,varenicline 1mg / c-tab
BiOxidant,copper 1mg+cystine 25mg+grapeSeedExtract 20mg+manganese 5mg+methionine 25mg+selenium 0.1mg+vitaminA 5000i.u.+vitaminC 150 i.u.+vitaminE 300mg+zinc 7.5mg / cap
Carnitine 500,acetylCarnitine 500mg / cap
Clindamycin 150,clindamycin 150mg / cap
Clindamycin 300,clindamycin 300mg / cap
Clindamycin 75,clindamycin 75mg / cap
Condromine,chondroitine 200mg+glucosAmine 250mg+manganese 5mg+vitaminC 33mg / cap
Crestomed 10,rosuvastatin 10mg / c-tab
Crestomed 10,rosuvastatin 10mg / c-tab
Crestomed 20,rosuvastatin 20mg / c-tab
Crestomed 20,rosuvastatin 20mg / c-tab
Crestomed 40,rosuvastatin 40mg / c-tab
Crestomed 40,rosuvastatin 40mg / c-tab
Crestomed 5,rosuvastatin 5mg / c-tab
Crestomed 5,rosuvastatin 5mg / c-tab
DailyVit,ginkgobiloba+ginseng+multivitamins / chew-tab
DailyVitPronatal,
DailyVitWomen,
Deferiprone 500,deferiprone 500mg / c-tab
Deferiprone 500,deferiprone 500mg / 5ml
"Diasmecta 3,000",
Duloxetine 20,duloxetine 20mg
Duloxetine 30,duloxetine 30mg / SR-cap
Duloxetine 60,duloxetine 60mg / SR-cap
Flutamir 75,
FolicAcid 5,folicAcid 5mg / c-tab
"Fosfomycin 3,000",
Gliclazide 60,gliclazide 60mg / tab
Gliclazide 60,gliclazide 60mg / tab
GliclazideMR 30,gliclazide 30mg / MR-tab
GliclazideMR 60,gliclazide 30mg / MR-tab
GliclazideMR 60,gliclazide 60mg / MR-tab
Indapamide 1.5,indapamide 1.5mg / tab
Indapamide 1.5,indapamide 1.5mg / tab
LeviLepsi 250,levetiracetam 250mg / c-tab
LeviLepsi 250,levetiracetam 250mg / c-tab
LeviLepsi 500,levetiracetam 500mg / c-tab
LeviLepsi 500,levetiracetam 500mg / c-tab
LeviLepsi 500,levetiracetam 500mg / 5ml
LeviLepsi 750,levetiracetam 750mg / c-tab
LeviLepsi 750,levetiracetam 750mg / c-tab
"Metformin 1,000",metformin 1000mg / c-tab
"Metformin 1,000",metformin 1000mg / c-tab
Metformin 750,metformin 750mg / c-tab
Metformin 750,metformin 750mg / c-tab
Meticron,gliclazide 80mg+metformin 500mg / c-tab
Molsicor 2,molsidomine 2mg / tab
Molsicor 4,molsidomine 4mg / tab
Molsicor 4,molsidomine 4mg / tab
Noxidara 20,
Noxidara 40,
Paracetamol 160,paraCetamol 160mg / 5ml
Paracetamol 500,paraCetamol 500mg / tab
Paracetamol 500,paraCetamol 500mg / tab
PerfectHair&nails,
Pico 0.4,chromiumPicolinate 0.4mg / tab
PicoC,
Prasugrel 10,prasugrel 10mg / c-tab
Prasugrel 10,prasugrel 10mg / c-tab
Prasugrel 5,prasugrel 5mg / c-tab
Prasugrel 5,prasugrel 5mg / c-tab
Ramithiazide 12.5/10,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+ramipril 10mg / tab
Ramithiazide 12.5/2.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+ramipril 2.5mg / tab
Ramithiazide 25/10,H.C.T.Z. ( HydroChloroThiaZide ) 25mg+ramipril 10mg / tab
Ramithiazide 25/5,H.C.T.Z. ( HydroChloroThiaZide ) 25mg+ramipril 5mg / tab
Ramithiazide 5/12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+ramipril 5mg / tab
RhinoGrippeX,ibuprofen 200mg+pseudoEphedrine 30mg / tab
RhinoGrippeX,ibuprofen 200mg+pseudoEphedrine 30mg / tab
RhinoGrippeX,ibuprofen 200mg+pseudoEphedrine 30mg / tab
Telmidipine 40/10,amlodipine 10mg+telmisartan 40mg / tab
Telmidipine 80/5,amlodipine 5mg+telmisartan 80mg / tab
Tempofen 100,ibuprofen 100mg / supp
Tempofen 200,ibuprofen 200mg / c-t
Tempofen 400,ibuprofen 400mg / c-t
Tempofen 600,ibuprofen 600mg / c-t
Tenofovir 300,
Tenofovir 300,
"Tronisum 2,000","strontiumRanelate 2,000mg / sachet"
"Tronisum 2,000","strontiumRanelate 2,000mg / sachet"
"Tronisum 2,000","strontiumRanelate 2,000mg / sachet"
VildaGliptin 50,
Visalgine 50,tiemoniumMethylSulfate 50mg / c-tab
Visalgine 50,tiemoniumMethylSulfate 50mg / c-tab
Zolpidem 10,zolpidem 10mg / c-tab
Zolpidem 10,zolpidem 10mg / c-tab
Zolpidem 5,zolpidem 5mg / c-tab
Zolpidem 5,zolpidem 5mg / c-tab
Aminophyllin 120,aminophylline 120mg / supp
Aminophyllin 120,aminophylline 120mg / supp
Aminophyllin 360,aminophylline 360mg / supp
Aminophyllin 360,aminophylline 360mg / supp
Ascaltin 500,aspirin 500mg / tab ( microfine crystal )
Ascaltin 500,aspirin 500mg / tab ( microfine crystal )
Ascaltin 500,aspirin 500mg / tab ( microfine crystal )
Ascaltin 500,aspirin 500mg / tab ( microfine crystal )
Asparco 20,aspartame 20mg / tab
Atropine 0.25,atropine 0.25mg / ml
Atropine 0.25,atropine 0.25mg / ml
Atropine 0.25,atropine 0.25mg / ml
Atropine 0.5,atropine 0.5mg / ml
Atropine 0.5,atropine 0.5mg / ml
Atropine 0.5,atropine 0.5mg / ml
Atropine 1,atropine 1mg / ml
Atropine 1,atropine 1mg / ml
Atropine 1,atropine 1mg / ml
AzithroMycin 250,azithromycin 250mg / tab
Bacampicillin 400,bacampicillin 400mg / tab
Bran,branPowder
Bran/”ﬂ«—Ì‰,branPowder
Bran/”ﬂ«—Ì‰/Ì«‰”Ê‰,branPowder
Cefalex 250,cephalexin 250mg / cap
Cefalex 250,cephalexin 250mg / cap
Cefalex 250,cephalexin 250mg / cap
Cefalex 250,cephalexin 250mg / 5ml
Cefalex 500,cephalexin 500mg / cap
Cefalex 500,cephalexin 500mg / cap
Cefalex 500,cephalexin 500mg / cap
Cefalex 500,cephalexin 500mg / cap
Cefoxime 100,cefixime 100mg / 5ml
Cefoxime 200,cefixime 200mg / tab
Cefoxime 200,cefixime 200mg / tab
Cefoxime 40,cefixime 40mg / 5ml
Cefoxime 400,cefixime 400mg / tab
Cefoxime 400,cefixime 400mg / tab
Cefuroxime 125,cefuroxime 125mg / tab
Cefuroxime 250,cefuroxime 250mg / tab
Cefuroxime 250,cefuroxime 250mg / tab
Cefuroxime 250,cefuroxime 250mg / tab
Cefuroxime 500,cefuroxime 500mg / tab
Cefuroxime 500,cefuroxime 500mg / tab
Cephradin 250,cephradine 250mg / 5ml
Cephradin 500,cephradine 500mg / cap
Cetrimide 0.5%,cetrimide 0.5%
Chloroquine 150,chloroquinePhosphate 150mg / c-tab
Chloroquine 150,chloroquinePhosphate 150mg / c-tab
Chloroquine 150,chloroquinePhosphate 150mg / c-tab
Chloroquine 150,chloroquinePhosphate 150mg / c-tab
Chloroquine 500,chloroquinePhosphate 500mg / c-tab
Chloroquine 500,chloroquinePhosphate 500mg / c-tab
Chloroquine 500,chloroquinePhosphate 500mg / c-tab
Chloroquine 500,chloroquinePhosphate 500mg / c-tab
Claricin 125,clarithromycin 125mg / 5ml
Claricin 250,clarithromycin 250mg / 5ml
Claricin 250,clarithromycin 250mg / tab
Claricin 250,clarithromycin 250mg / tab
Claricin 500,clarithromycin 500mg / tab
Claricin 500,clarithromycin 500mg / tab
Cloxen 500,cloxacillin 500mg / cap
Cloxen 500,cloxacillin 500mg / cap
Cloxen 500,cloxacillin 500mg / cap
Cloxen 500,cloxacillin 500mg / cap
DecostamineNew,chlorpheniramine 1mg+paraCetamol 160mg+pseudoEphedrine 15mg / 5ml
DecostamineNew,chlorpheniramine 4mg+phenylPropanolamine 50mg / tab
DecostamineNew,chlorpheniramine 4mg+pseudoEphedrine 60mg / tab
DecostamineNew,chlorpheniramine 4mg+pseudoEphedrine 60mg / tab
DecostamineNew,chlorpheniramine 4mg+phenylPropanolamine 50mg / tab
DecostaminePlus,chlorpheniramine 3mg+paraCetamol 400mg+phenylPropanolamine 24mg / tab
DecostaminePlus,chlorpheniramine 3mg+paraCetamol 400mg+phenylpropanolamine 24mg / tab
DecostaminePlusNew,chlorpheniramine 0.75mg+paraCetamol 120mg+phenylPropanolamine 10mg / 5ml
DecostaminePlusNew,chlorpheniramine 2mg+paraCetamol 500mg+pseudoEphedrine 30mg / tab
DecostaminePlusNew,chlorpheniramine 2mg+paraCetamol 500mg+pseudoEphedrine 30mg / tab
DecostaminePlusNew,chlorpheniramine 2mg+paraCetamol 500mg+pseudoEphedrine 30mg / tab
Dextromol,dextropropoxyphene 60mg+paraCetamol 400mg / cap
Dextromol,dextropropoxyphene 60mg+paraCetamol 400mg / cap
Dextromol,dextropropoxyphene 60mg+paraCetamol 400mg / cap
DextromolFort,dextropropoxyphene 100mg+paraCetamol 400mg / cap
DextromolFort,dextropropoxyphene 100mg+paraCetamol 400mg / cap
DextromolFort,dextropropoxyphene 100mg+paraCetamol 400mg / cap
DextromolFort,dextropropoxyphene 100mg+paraCetamol 400mg / cap
DicloTham 100,diclofenacSodium 100mg / supp
DicloTham 75,diclofenacSodium 75mg / amp
DicloTham 75,diclofenacSodium 75mg / amp
DicloTham 75,diclofenacSodium 75mg / amp
Erythroma 200,erythromycin 200mg / 5ml
Erythroma 250,erythromycin 250mg / c-tab
Erythroma 250,erythromycin 250mg / c-tab
Erythroma 250,erythromycin 250mg / c-tab
EsoMeprazole 20,esoMeprazole 20mg / cap
EsoMeprazole 20,esoMeprazole 20mg / cap
EsoMeprazole 20,esoMeprazole 20mg / cap
EsoMeprazole 20,esoMeprazole 20mg / cap
EsoMeprazole 40,esoMeprazole 40mg / cap
EsoMeprazole 40,esoMeprazole 40mg / cap
EsoMeprazole 40,esoMeprazole 40mg / cap
EsoMeprazole 40,esoMeprazole 40mg / cap
EyeCare,boricAcid 270mg+phenylmercuric 0.3mg+sodiumBorate 180mg+sodiumchloride 45mg / ml
Flagyzol 0.75%,metronidazole 0.75%
Flagyzol 125,metronidazole 125mg / 5ml
Flagyzol 125,metronidazole 125mg / 5ml
Flagyzol 250,metronidazole 250mg / tab
Flagyzol 250,metronidazole 250mg / tab
Flagyzol 500,metronidazole 500mg / tab
Flagyzol 500,metronidazole 500mg / tab
Flaminar 0.025%,fluocinolone 0.025%
Flaminar 0.025%,fluocinolone 0.025%
FlaminarN,fluocinolone 0.025%+neomycin 0.35%
FlaminarN,fluocinolone 0.025%+neomycin 0.35%
Fulvin 125,griseofulvin fine particles 125mg / tab
Fulvin 125,griseofulvin fine particles 125mg / tab
Fulvin 500,griseofulvin fine particles 500mg / tab
Fulvin 500,griseofulvin fine particles 500mg / tab
Furacillin 0.2%,nitrofurazone 0.2%
Glustat 5,glyburide 5mg / tab
Glustat 5,glyburide 5mg / tab
Glustat 5,glyburide 5mg / tab
Glustat 5,glyburide 5mg / tab
Glycerin 1,glycerol 1000mg / supp
Glycerin 1,glycerol 1000mg / supp
Glycerin 1,glycerol 1000mg / supp
Glycerin 2,glycerol 2000mg / supp
Glycerin 2,glycerol 2000mg / supp
Glycerin 2,glycerol 2000mg / supp
Isoniazid 100,isoniazide 100mg / tab
Labetol 20,labetalol 20mg / amp
Labetol 20,labetalol 20mg / amp
Lidocain 1%,lidocaine 1%
Lidocain 1%,lidocaine 1%
Lincomycin 300,lincomycin 300mg / amp
Lincomycin 600,lincomycin 600mg / amp
Locaform,flumethasone 0.02%+vioform 3%
Locaform,flumethasone 0.02%+vioform 3%
Lovastatin 10,lovastatin 10mg / tab
Lovastatin 20,lovastatin 10mg / tab
Lovastatin 20,lovastatin 20mg / tab
Lovastatin 20,lovastatin 20mg / tab
Lovastatin 20,lovastatin 20mg / tab
Manitol 10%,mannitol 10%
Manitol 10%,mannitol 10%
Manitol 10%,mannitol 10%
Manitol 20%,mannitol 20%
Manitol 20%,mannitol 20%
Manitol 20%,mannitol 20%
Maxicillin 250,amoxicillin 250mg / cap
Maxicillin 250,amoxicillin 250mg / cap
Maxicillin 250,amoxicillin 250mg / cap
Maxicillin 250,amoxicillin 250mg / cap
Maxicillin 250,amoxicillin 250mg / 5ml
Maxicillin 250,amoxicillin 250mg / 5ml
Maxicillin 500,amoxicillin 500mg / cap
Maxicillin 500,amoxicillin 500mg / cap
Maxicillin 500,amoxicillin 500mg / cap
Maxicillin 500,amoxicillin 500mg / cap
Mebendazole 100,mebendazole 100mg / chew-tab
Mebendazole 100,mebendazole 100mg / 5ml
Mefenamico 500,mefenamicAcid 500mg / supp
Metazone 0.5,dexamethasone 0.5mg / tab
Metazone 0.5,dexamethasone 0.5mg / tab
Metformin 500,metformin 500mg / c-tab
Metformin 500,metformin 500mg / c-ttab
Metformin 850,metformin 850mg / c-tab
MetforminPlus,glyburide 5mg+metformin 500mg / c-tab
Negamycin 0.3%,gentamicin 0.3%
Negamycin 20,gentamicin 20mg / amp
Negamycin 20,gentamicin 20mg / amp
Negamycin 40,gentamicin 40mg / amp
Negamycin 40,gentamicin 40mg / amp
Negamycin 80,gentamicin 80mg / amp
Negamycin 80,gentamicin 80mg / amp
Niclosamide 500,niclosamide 500mg / tab
Nifidine 10,nifedipine 10mg / c-tab
Nifidine 10,nifedipine 10mg / c-tab
Nifidine 10,nifedipine 10mg / c-tab
NitrosylB6,
NitrosylB6 100,
Omeprazole 20,omeprazole 20mg / cap
Omeprazole 20,omeprazole 20mg / cap
Omeprazole 20,omeprazole 20mg / cap
Omeprazole 20,omeprazole 20mg / cap
Omeprazole 40,omeprazole 40mg / cap
Omeprazole 40,omeprazole 40mg / cap
Omeprazole 40,omeprazole 40mg / cap
Omeprazole 40,omeprazole 40mg / cap
Orlistat 120,orlistat 120mg / cap
Osmo 4,glucose 10gr+potassiumchloride 0.75gr+sodiumchloride 1.75gr+sodiumCitrate 1.4gr / sachet
Osmo 4,glucose 10gr+potassiumchloride 0.75gr+sodiumchloride 1.75gr+sodiumCitrate 1.4gr / sachet
Osmo 4,glucose 10gr+potassiumchloride 0.75gr+sodiumchloride 1.75gr+sodiumCitrate 1.4gr / sachet
Overcloxen 250,ampicillin 125mg+cloxacillin 125mg / 5ml
Overcloxen 250,ampicillin 125mg+cloxacillin 125mg / 5ml
Overcloxen 500,ampicillin 250mg+cloxacillin 250mg / cap
Overcloxen 500,ampicillin 250mg+cloxacillin 250mg / cap
Overcloxen 500,ampicillin 250mg+cloxacillin 250mg / cap
Overcloxen 500,ampicillin 250mg+cloxacillin 250mg / cap
Overpen 250,ampicillin 250mg / cap
Overpen 250,ampicillin 250mg / cap
Overpen 250,ampicillin 250mg / cap
Overpen 250,ampicillin 250mg / 5ml
Overpen 500,ampicillin 500mg / cap
Overpen 500,ampicillin 500mg / cap
Overpen 500,ampicillin 500mg / cap
Overpen 500,ampicillin 500mg / cap
Pectopect,chlorpheniramine 2mg+glycerolGuaiacolate ( guaifenesin ) 100mg+phenylephrine 5mg / 5ml
Pectopect,chlorpheniramine 2mg+glycerolGuaiacolate ( guaifenesin ) 100mg+phenylephrine 5mg / 5ml
Phenefrin 0.1,phenylephrine 0.1%
Phenefrin 2.5%,phenylephrine 2.5%
Phenolain,amylocaine 4mg+phenol 8mg / ml
Pyrazinamide 500,pyrazinamide 500mg / tab
Ramicol,amylocaine 2%+chloramphenicol 1% 
Ramicol 0.4%,chloramphenicol 0.4%
Reemopect,dextroMethorphan 15mg / 5ml
Renacid,calciumCarbonate 340mg+magnesiumCarbonate 40mg / chew-tab
Renacid,calciumCarbonate 340mg+magnesiumCarbonate 40mg / chew-tab
Renacid,calciumCarbonate 340mg+magnesiumCarbonate 40mg / chew-tab
RenalTam,aceticAcid 10.8mg+dextrose 90mg+calciumchloride 7.5mg+magnesiumchloride 1.6mg+potassiumchloride 6.7mg+biCarbonateSodium 263mg / ml
RenalTam withoutSodiumBiCarbonate,aceticAcid 10.8mg+dextrose 90mg+calciumchloride 7.5mg+magnesiumchloride 1.6mg+potassiumchloride 6.7mg / ml
Rhinoxyl 0.05%,xylometazoline 0.05%
Rhinoxyl 0.1%,xylometazoline 0.1%
Rifa 100,rifampicin 100mg / 5ml
Rifa 150,rifampicin 150mg / cap
Rifa 150,rifampicin 150mg / cap
Rifa 300,rifampicin 300mg / cap
Rifa 300,rifampicin 300mg / cap
Rifazide 150/300,isoniazide 150mg+rifampicin 300mg / cap
Rifazide 75/150,isoniazide 75mg+rifampicin 150mg / cap
Rifazide 75/150,isoniazide 75mg+rifampicin 150mg / cap
RingerTam,calciumchloride 33%+potassiumchloride 30%+sodiumchloride 8.6%
RingerTam,calciumchloride+potassiumchloride+sodiumchloride / 5ml
RingerTam,calciumchloride+potassiumchloride+sodiumchloride / 5ml
RingerTamLactate,calciumchloride 33%+potassiumchloride 30%+sodiumchloride 8.6%+sodiumLactate / 5ml
RingerTamLactate,calciumchloride 33%+potassiumchloride 30%+sodiumchloride 8.6%+sodiumLactate / 5ml
RingerTamLactate,calciumchloride 33%+potassiumchloride 30%+sodiumchloride 8.6%+sodiumLactate / 5ml
Romidal,climazol 1%+cinchocaine 0.5%+flucortolone ( caproat+pivalate ) 0.092%
Romidal,climazol 5mg+cinchocaine 1mg+flucortolone ( caproat+pivalate ) 0.63mg / supp
Romidal,climazol 5mg+cinchocaine 1mg+flucortolone ( caproat+pivalate ) 0.63mg / supp
Rubico 1%,methylnicotinate 1%
Sedaforte 100,aspirin 375mg+caffeine 30mg+dextropropoxyphene 100mg / cap
Sedaforte 100,aspirin 375mg+caffeine 30mg+dextropropoxyphene 100mg / cap
Sedaforte 50,aspirin 375mg+caffeine 30mg+dextropropoxyphene 50mg / cap
Sedaforte 50,aspirin 375mg+caffeine 30mg+dextropropoxyphene 50mg / cap
SerumAdmSet,SerumAdmSet
SerumAdmSet med/tak301B,SerumAdmSet
SerumDextrose 10%,dextrose 10%
SerumDextrose 10%,dextrose 10%
SerumDextrose 10%/set,dextrose 10%
SerumDextrose 30%,dextrose 30%
SerumDextrose 30%,dextrose 30%
SerumDextrose 30%,dextrose 30%
SerumDextrose 5%,dextrose 5%
SerumDextrose 5%,dextrose 5%
SerumDextrose 5%,dextrose 5%
SerumMixed 4.3/1.8%,dextrose 4.3%+sodiumchloride 1.8%
SerumMixed 5/0.45%,dextrose 5%+sodiumchloride 0.45%
SerumMixed 5/0.9%,dextrose 5%+sodiumchloride 0.9%
SerumMixed 5/0.9%,dextrose 5%+sodiumchloride 0.9%
SerumMixed 5/0.9%/set,dextrose 5%+sodiumchloride 0.9%
SerumMixed 5/1.8%,dextrose 5%+sodiumchloride 1.8%
SerumMixed 5/1.8%,dextrose 5%+sodiumchloride 1.8%
SerumSaline 0.9%,sodiumchloride 0.9%
SerumSaline 0.9%,sodiumchloride 0.9%
SerumSaline 0.9%,sodiumchloride 0.9%
SerumSaline 0.9%/set,sodiumchloride 0.9%
SodiumBicarbonate,biCarbonateSodium 100%
Sulfacid 10%,sulfacetamide 10%
Sulfacid 20%,sulfacetamide 20%
Suprim,sulfamethoxazole 200mg+trimethoprim 40mg / 5ml
Suprim,sulfamethoxazole 400mg+trimethoprim 80mg / tab
Suprim,sulfamethoxazole 4200mg+trimethoprim 80mg / tab
Suprim,sulfamethoxazole 4200mg+trimethoprim 80mg / tab
Suprim,sulfamethoxazole 400mg+trimethoprim 80mg / tab
Sytamol 100,paraCetamol 100mg / ml
Sytamol 120,paraCetamol 120mg / 5ml
Sytamol 125,paraCetamol 125mg / supp
Sytamol 125,paraCetamol 125mg / supp
Sytamol 300,paraCetamol 300mg / supp
Sytamol 300,paraCetamol 300mg / supp
Sytamol 500,paraCetamol 500mg / tab
Sytamol 500,paraCetamol 500mg / tab
Sytamol 500,paraCetamol 500mg / tab
Sytamol 80,paraCetamol 80mg / tab
Sytamol 80,paraCetamol 80mg / tab
Sytamol 80,paraCetamol 80mg / tab
SytamolExtra,caffeine 50mg+paraCetamol 500mg / tab
SytamolExtra,caffeine 50mg+paraCetamol 500mg / tab
SytamolExtra,caffeine 50mg+paraCetamol 500mg / tab
SytamolExtra,caffeine 50mg+paraCetamol 500mg / tab
Tamelac,milk+wheat powder baby-food
Tamelac,milk+wheat powder baby-food
Tamelac,milk+wheat powder baby-food
Tamelac,milk+wheat powder baby-food
Tamelac,milk+wheat powder baby-food
Tamelac with bran,milk+wheat powder+bran
Tamelac with caramel,milk+wheat powder+caramel
Tamelac with soya,milk+wheat powder+soya baby-food
Tamelac with soya,milk+wheat powder+soya baby-food
Tamelac with soya,milk+wheat powder+soya baby-food
TameSart 160,candesartan 160mg / tab
TameSart 160,candesartan 160mg / tab
TamiFlu 75,
Tamikacin 100,amikacin 100mg / amp
Tamikacin 100,amikacin 100mg / amp
Tamikacin 500,amikacin 500mg / amp
Tamikacin 500,amikacin 500mg / amp
Tamindol 5,pindolol 5mg / tab
Tamindol 5,pindolol 5mg / tab
Tetracyl 250,tetracycline 250mg / cap
Tetracyl 250,tetracycline 250mg / cap
Tetracyl 250,tetracycline 250mg / cap
Tetracyl 250,tetracycline 250mg / cap
Tetracyl 500,tetracycline 500mg / cap
Tetracyl 500,tetracycline 500mg / cap
Tetracyl 500,tetracycline 500mg / cap
Thalosar 50,losartan 50mg / c-tab
Thalosar 50,losartan 50mg / c-tab
Thalosar 50,losartan 50mg / c-tab
Thalvix 75,clopidogrel 75mg / tab
Thalvix 75,clopidogrel 75mg / tab
Thalvix 75,clopidogrel 75mg / tab
Thameclor 125,cefaclor 125mg / 5ml
Thameclor 250,cefaclor 250mg / cap
Thameclor 250,cefaclor 250mg / cap
Thameclor 250,cefaclor 250mg / 5ml
Thameclor 500,cefaclor 500mg / cap
Thameclor 500,cefaclor 500mg / cap
Thamerice,milk+rice powder baby-food
Thamerice,milk+rice powder baby-food
Thamerice/apple,milk+apple powder baby-food
